id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2013,Ratio mujeres/hombres (sin hijos),ARG,MUT - EAHU 2013,2013,1.335706114768982,32,,Ratio hijos,13,Argentina,Porcentaje de la población que realiza tareas domésticas en el hogar.,Participación en tareas domésticas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (solteros),ARG,MUT - EAHU 2013,2013,1.511222124099731,30,,Ratio situación conyugal,14,Argentina,Porcentaje de la población que realiza tareas domésticas en el hogar.,Participación en tareas domésticas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (media calificación),ARG,MUT - EAHU 2013,2013,1.750334858894348,28,,Ratio calificación,15,Argentina,Porcentaje de la población que realiza tareas domésticas en el hogar.,Participación en tareas domésticas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres,ARG,MUT - EAHU 2013,2013,1.767713904380798,26,,Ratio mujeres/hombres,6,Argentina,Porcentaje de la población que realiza tareas domésticas en el hogar.,Participación en tareas domésticas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (con hijos de 0 a 5 años),ARG,MUT - EAHU 2013,2013,1.876100182533264,33,,Ratio hijos,13,Argentina,Porcentaje de la población que realiza tareas domésticas en el hogar.,Participación en tareas domésticas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (con hijos de 6 años o más),ARG,MUT - EAHU 2013,2013,1.919942498207092,34,,Ratio hijos,13,Argentina,Porcentaje de la población que realiza tareas domésticas en el hogar.,Participación en tareas domésticas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (en pareja),ARG,MUT - EAHU 2013,2013,1.895876169204712,31,,Ratio situación conyugal,14,Argentina,Porcentaje de la población que realiza tareas domésticas en el hogar.,Participación en tareas domésticas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (baja calificación),ARG,MUT - EAHU 2013,2013,1.954949498176575,27,,Ratio calificación,15,Argentina,Porcentaje de la población que realiza tareas domésticas en el hogar.,Participación en tareas domésticas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2013,Ratio mujeres/hombres (alta calificación),ARG,MUT - EAHU 2013,2013,1.583964943885803,29,,Ratio calificación,15,Argentina,Porcentaje de la población que realiza tareas domésticas en el hogar.,Participación en tareas domésticas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (baja calificación),CHL,ENUT 2015,2015,1.1241534948349,27,,Ratio calificación,15,Chile,Porcentaje de la población que realiza tareas domésticas en el hogar.,Participación en tareas domésticas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (media calificación),CHL,ENUT 2015,2015,1.08123779296875,28,,Ratio calificación,15,Chile,Porcentaje de la población que realiza tareas domésticas en el hogar.,Participación en tareas domésticas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (con hijos de 0 a 5 años),CHL,ENUT 2015,2015,1.05586314201355,33,,Ratio hijos,13,Chile,Porcentaje de la población que realiza tareas domésticas en el hogar.,Participación en tareas domésticas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (con hijos de 6 años o más),CHL,ENUT 2015,2015,1.091184139251709,34,,Ratio hijos,13,Chile,Porcentaje de la población que realiza tareas domésticas en el hogar.,Participación en tareas domésticas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (solteros),CHL,ENUT 2015,2015,1.053124070167542,30,,Ratio situación conyugal,14,Chile,Porcentaje de la población que realiza tareas domésticas en el hogar.,Participación en tareas domésticas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
CHL2015,Ratio mujeres/hombres (sin hijos),CHL,ENUT 2015,2015,1.036795973777771,32,,Ratio hijos,13,Chile,Porcentaje de la población que realiza tareas domésticas en el hogar.,Participación en tareas domésticas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
